City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
342,amambai,-23.1042,-55.2258,30.92,43,36,0.25,BR,1675789658
343,ponta delgada,37.7333,-25.6667,13.4,88,40,11.32,PT,1675789447
344,asau,46.4333,26.4,-3.49,96,100,1.46,RO,1675789659
345,saint-pierre,-21.3393,55.4781,27.82,74,20,5.66,RE,1675789569
346,omsukchan,62.5333,155.8,-39.11,99,99,1.88,RU,1675789659
347,barrow,71.2906,-156.7887,-23.99,77,100,4.63,US,1675789487
348,palu,-0.8917,119.8707,23.93,95,98,0.58,ID,1675789660
349,sola,-13.8833,167.55,27.81,74,96,5.39,VU,1675789660
350,arrecife,28.963,-13.5477,16.99,67,75,3.6,ES,1675789661
351,vila velha,-20.3297,-40.2925,30.97,70,20,7.72,BR,1675789661
352,olivenza,38.6832,-7.103,12.48,69,72,4.41,ES,1675789661
353,ixtapa,20.7,-105.2,22.57,68,20,0.0,MX,1675789662
354,tyukhtet,56.5389,89.3011,-7.97,92,100,3.28,RU,1675789662
355,dezful,32.3811,48.4058,14.01,49,35,3.96,IR,1675789662
356,port pirie,-33.1833,138.0167,24.36,33,0,4.13,AU,1675789663
357,kailua,21.4022,-157.7394,23.99,88,75,6.17,US,1675789490
358,makasar,-5.14,119.4221,25.03,78,20,0.51,ID,1675789664
359,champerico,14.3,-91.9167,34.3,53,38,3.16,GT,1675789664
360,sarh,9.1429,18.3923,32.79,10,16,1.94,TD,1675789666
361,collingwood,44.4834,-80.2164,3.94,84,98,11.98,CA,1675789667
362,okhotsk,59.3833,143.3,-24.47,88,99,4.36,RU,1675789667
363,kiama,-34.6833,150.8667,22.22,92,100,3.13,AU,1675789515
364,qeshm,26.9581,56.2719,18.93,65,24,2.67,IR,1675789668
365,muravlenko,63.7898,74.523,-25.86,100,41,3.9,RU,1675789668
366,cayenne,4.9333,-52.3333,30.02,66,75,7.2,GF,1675789444
367,astana,51.1801,71.446,-23.03,84,75,1.0,KZ,1675789629
368,thunder bay,48.4001,-89.3168,-4.7,85,35,5.86,CA,1675789680
369,leh,34.1667,77.5833,-18.19,67,15,1.51,IN,1675789680
370,bage,-31.3314,-54.1069,35.88,26,75,3.6,BR,1675789444
371,sitka,57.0531,-135.33,-0.06,86,40,1.54,US,1675789607
372,sisimiut,66.9395,-53.6735,-19.34,94,100,2.84,GL,1675789681
373,santa cruz,-17.8,-63.1667,26.23,77,97,4.25,BO,1675789681
374,grindavik,63.8424,-22.4338,-2.03,93,75,13.38,IS,1675789664
375,paamiut,61.994,-49.6678,-14.8,81,100,3.08,GL,1675789682
376,omsk,55.0,73.4,-18.95,77,0,2.0,RU,1675789682
377,libreville,0.3925,9.4537,27.65,73,64,3.83,GA,1675789634
378,kommunar,59.6206,30.39,-2.26,92,85,4.59,RU,1675789683
379,desaguadero,-16.5656,-69.0417,7.65,82,100,1.46,PE,1675789684
380,ishigaki,24.3448,124.1572,20.09,80,100,7.43,JP,1675789685
381,aiken,33.5835,-81.5998,19.12,34,0,4.12,US,1675789686
382,anadyr,64.75,177.4833,-28.72,76,40,3.0,RU,1675789649
383,mantua,45.1667,10.7833,4.58,69,5,1.99,IT,1675789687
384,petropavlivka,48.4564,36.4367,-5.93,81,100,8.07,UA,1675789687
385,roma,43.2128,-75.4557,5.96,56,0,5.66,US,1675789396
386,salumbar,24.1333,74.05,19.47,19,3,2.79,IN,1675789688
387,palenque,17.5167,-91.9667,26.09,65,0,5.66,MX,1675789689
388,bubaque,11.2833,-15.8333,24.6,64,38,6.62,GW,1675789690
389,asfi,32.2994,-9.2372,15.16,70,3,4.88,MA,1675789691
390,nianzishan,47.5167,122.8833,-17.77,87,9,2.37,CN,1675789692
391,el fuerte,26.4189,-108.6194,20.26,28,93,1.44,MX,1675789692
392,atar,20.5169,-13.0499,24.74,13,31,6.94,MR,1675789504
393,singarayakonda,15.25,80.0333,23.41,73,55,3.85,IN,1675789693
394,westport,41.1415,-73.3579,5.24,47,0,2.57,US,1675789661
395,bambous virieux,-20.3428,57.7575,26.79,79,41,6.72,MU,1675789695
396,aden,12.7794,45.0367,24.95,68,15,4.45,YE,1675789696
397,bridlington,54.0831,-0.1919,8.27,82,81,3.82,GB,1675789697
398,kiunga,-6.1219,141.2906,22.92,99,100,1.03,PG,1675789697
399,ardabil,38.2498,48.2933,1.9,60,39,6.39,IR,1675789697
400,taltal,-25.4,-70.4833,23.63,70,26,3.44,CL,1675789430
401,chipinge,-20.1883,32.6236,17.56,89,100,1.53,ZW,1675789698
402,male,4.1748,73.5089,27.97,83,75,4.12,MV,1675789698
403,puerto baquerizo moreno,-0.9,-89.6,25.86,77,43,3.26,EC,1675789699
404,lakes entrance,-37.8811,147.981,14.53,89,17,1.29,AU,1675789670
405,santa fe,-31.6333,-60.7,38.9,23,0,2.68,AR,1675789700
406,fairmont,39.4851,-80.1426,16.61,40,100,1.34,US,1675789701
407,itarema,-2.9248,-39.9167,29.14,66,100,5.75,BR,1675789702
408,shetpe,44.1667,52.1167,4.64,65,100,8.26,KZ,1675789702
409,agaro,7.85,36.65,21.32,30,62,0.8,ET,1675789706
410,batagay-alyta,67.8006,130.4114,-38.53,99,98,1.01,RU,1675789707
411,malakal,9.5334,31.6605,29.8,11,5,2.78,SS,1675789707
412,lahat,-3.8,103.5333,23.83,89,100,0.73,ID,1675789707
413,saquena,-4.6667,-73.5167,25.06,82,99,0.3,PE,1675789708
414,elko,41.0002,-115.5012,-6.31,79,100,1.34,US,1675789708
415,brigantine,39.4101,-74.3646,6.78,70,0,3.6,US,1675789709
